Date,Price
2016-12-05,754.39081922
2016-12-06,760.1294454
2016-12-07,766.52848037
2016-12-08,770.02576181
2016-12-09,771.56
2016-12-10,776.25641219
2016-12-11,770.91033707
2016-12-12,779.56357386
2016-12-13,780.01
2016-12-14,777.59257217
2016-12-15,777.46467768
2016-12-16,784.55183893
2016-12-17,790.86014583
2016-12-18,789.99
2016-12-19,789.48061957
2016-12-20,794.09218042
2016-12-21,826.85203232
2016-12-22,857.49984926
2016-12-23,914.99622481
2016-12-24,894.7880162999999
2016-12-25,893.62639131
2016-12-26,900.54681551
2016-12-27,923.30741707
2016-12-28,975.74287507
2016-12-29,972.10588714
2016-12-30,961.90574913
2016-12-31,970.99698065
2017-01-01,998.0
2017-01-02,1014.5131892
2017-01-03,1028.0977787999998
2017-01-04,1135.2529436
2017-01-05,1015.0037980000001
2017-01-06,889.53494964
2017-01-07,903.44245975
2017-01-08,919.98021992
2017-01-09,903.24511743
2017-01-10,907.26
2017-01-11,797.41
2017-01-12,822.25008571
2017-01-13,830.15917257
2017-01-14,824.38
2017-01-15,828.97945329
2017-01-16,833.99
2017-01-17,905.09
2017-01-18,878.92982494
2017-01-19,898.78
2017-01-20,894.92015438
2017-01-21,924.302603
2017-01-22,923.98487068
2017-01-23,921.30033258
2017-01-24,889.79063652
2017-01-25,895.41969702
2017-01-26,917.78115502
2017-01-27,923.98
2017-01-28,924.85138295
2017-01-29,917.99
2017-01-30,923.65271053
2017-01-31,970.48775082
2017-02-01,986.97
2017-02-02,1009.0936073999999
2017-02-03,1015.4575764
2017-02-04,1035.0549337000002
2017-02-05,1015.5288717
2017-02-06,1025.7205709
2017-02-07,1053.2624667000002
2017-02-08,1059.6615359999998
2017-02-09,982.86
2017-02-10,1004.9017177999999
2017-02-11,1017.3050562000001
2017-02-12,1009.0
2017-02-13,1003.2981781
2017-02-14,1012.5877317
2017-02-15,1015.73
2017-02-16,1037.0384287999998
2017-02-17,1062.0472565
2017-02-18,1064.3714252999998
2017-02-19,1059.99
2017-02-20,1066.6091442
2017-02-21,1127.939862
2017-02-22,1129.6518423
2017-02-23,1182.0040617
2017-02-24,1185.5218136
2017-02-25,1154.5626843
2017-02-26,1182.2345177000002
2017-02-27,1190.8306562999999
2017-02-28,1196.2688157
2017-03-01,1228.261455
2017-03-02,1266.9218349
2017-03-03,1287.9732122
2017-03-04,1274.501549
2017-03-05,1277.9782555
2017-03-06,1282.0228998
2017-03-07,1230.0022559000001
2017-03-08,1166.5939353
2017-03-09,1198.8174492
2017-03-10,1085.3727329
2017-03-11,1181.7891217000001
2017-03-12,1240.0563697
2017-03-13,1246.45
2017-03-14,1249.9107381
2017-03-15,1258.9830826
2017-03-16,1176.559538
2017-03-17,1083.9912739
2017-03-18,943.12084322
2017-03-19,1036.7767674000002
2017-03-20,1045.8392732
2017-03-21,1114.7859433
2017-03-22,1023.8103039999999
2017-03-23,1018.5119392999999
2017-03-24,933.07380711
2017-03-25,958.17430819
2017-03-26,958.17081774
2017-03-27,1036.864415
2017-03-28,1035.9978712000002
2017-03-29,1044.9980037
2017-03-30,1039.8303321
2017-03-31,1086.4597113
2017-04-01,1082.1586006
2017-04-02,1110.8087507
2017-04-03,1158.5600414
2017-04-04,1143.98
2017-04-05,1128.9701832
2017-04-06,1199.9637585
2017-04-07,1194.4305628
