Date,Price
2015-12-07,0.79
2015-12-08,0.81
2015-12-09,0.81
2015-12-10,0.84
2015-12-11,0.9
2015-12-12,0.96
2015-12-13,0.92
2015-12-14,0.99
2015-12-15,1.0
2015-12-16,0.8
2015-12-17,0.94
2015-12-18,0.9
2015-12-19,0.89
2015-12-20,1.07
2015-12-21,0.91
2015-12-22,0.88
2015-12-23,0.87
2015-12-24,0.87
2015-12-25,0.88
2015-12-26,0.85
2015-12-27,0.92
2015-12-28,0.87
2015-12-29,0.86
2015-12-30,0.89
2015-12-31,0.95
2016-01-01,0.92
2016-01-02,0.95
2016-01-03,0.96
2016-01-04,0.95
2016-01-05,0.94
2016-01-06,0.95
2016-01-07,0.94
2016-01-08,0.99
2016-01-09,0.99
2016-01-10,1.0
2016-01-11,1.08
2016-01-12,1.22
2016-01-13,1.14
2016-01-14,1.16
2016-01-15,1.2
2016-01-16,1.22
2016-01-17,1.31
2016-01-18,1.47
2016-01-19,1.22
2016-01-20,1.54
2016-01-21,1.54
2016-01-22,1.52
2016-01-23,2.03
2016-01-24,2.1
2016-01-25,2.5
2016-01-26,2.3
2016-01-27,2.42
2016-01-28,2.55
2016-01-29,2.41
2016-01-30,2.44
2016-01-31,2.2
2016-02-01,2.17
2016-02-02,2.45
2016-02-03,2.53
2016-02-04,2.57
2016-02-05,2.56
2016-02-06,2.53
2016-02-07,3.0
2016-02-08,3.16
2016-02-09,3.76
2016-02-10,4.35
2016-02-11,6.38
2016-02-13,5.22
2016-02-12,5.27
2016-02-14,5.2
2016-02-15,5.22
2016-02-16,4.25
2016-02-17,3.86
2016-02-18,4.36
2016-02-19,4.45
2016-02-20,4.37
2016-02-21,4.63
2016-02-22,5.6
2016-02-23,5.7
2016-02-24,6.23
2016-02-25,5.93
2016-02-26,6.03
2016-02-27,6.31
2016-02-28,6.5
2016-02-29,6.35
2016-03-01,7.59
2016-03-02,8.7
2016-03-03,9.35
2016-03-04,9.96
2016-03-05,11.0
2016-03-06,10.98
2016-03-07,9.5
2016-03-08,9.88
2016-03-09,11.55
2016-03-10,11.11
2016-03-11,11.25
2016-03-12,13.25
2016-03-13,15.0
2016-03-14,12.5
2016-03-15,13.09
2016-03-16,12.92
2016-03-17,11.14
2016-03-18,10.75
2016-03-19,10.55
2016-03-20,10.06
2016-03-21,11.97
2016-03-22,10.96
2016-03-23,12.29
2016-03-24,11.13
2016-03-25,10.69
2016-03-26,11.0
2016-03-27,10.5
2016-03-28,11.58
2016-03-29,11.73
2016-03-30,11.88
2016-03-31,11.41
2016-04-01,11.63
2016-04-02,11.61
2016-04-03,11.58
2016-04-04,11.1
2016-04-05,10.39
2016-04-06,10.79
2016-04-07,10.08
2016-04-08,9.74
2016-04-09,9.16
2016-04-10,8.8
2016-04-11,8.72
2016-04-12,7.53
2016-04-13,8.02
2016-04-14,8.48
2016-04-15,8.22
2016-04-16,8.48
2016-04-17,9.45
2016-04-18,8.92
2016-04-19,8.77
2016-04-20,8.54
2016-04-21,8.15
2016-04-22,7.83
2016-04-23,8.31
2016-04-24,8.0
2016-04-25,7.43
2016-04-26,7.5
2016-04-27,7.77
2016-04-28,7.3
2016-04-29,7.51
2016-04-30,8.83
2016-05-01,8.76
2016-05-02,10.03
2016-05-03,9.37
2016-05-04,9.43
2016-05-05,9.79
2016-05-06,9.27
2016-05-07,9.3
2016-05-08,9.44
2016-05-09,9.32
2016-05-10,9.39
2016-05-11,9.97
2016-05-12,10.1
2016-05-13,10.48
2016-05-14,10.14
2016-05-15,9.94
2016-05-16,11.04
2016-05-17,12.26
2016-05-18,13.29
2016-05-19,14.49
2016-05-20,13.73
2016-05-21,13.95
2016-05-22,14.21
2016-05-23,13.45
2016-05-24,12.62
2016-05-25,12.53
2016-05-26,12.37
2016-05-28,11.56
2016-05-27,11.11
2016-05-29,12.28
2016-05-30,12.48
2016-05-31,13.85
2016-06-01,13.83
2016-06-02,13.78
2016-06-03,13.78
2016-06-04,13.66
2016-06-05,13.85
2016-06-06,13.96
2016-06-07,14.41
2016-06-08,14.44
2016-06-09,14.49
2016-06-10,13.97
2016-06-11,14.01
2016-06-12,15.57
2016-06-13,17.55
2016-06-14,18.7
2016-06-15,18.3
2016-06-16,20.61
2016-06-17,15.49
2016-06-18,11.36
2016-06-19,12.33
2016-06-20,11.7
2016-06-21,12.71
2016-06-22,13.21
2016-06-24,14.25
2016-06-23,13.58
2016-06-25,14.28
2016-06-26,13.82
2016-06-27,14.04
2016-06-28,12.15
2016-06-29,12.76
2016-06-30,12.4
2016-07-01,12.23
2016-07-02,12.04
2016-07-03,11.85
2016-07-04,11.34
2016-07-05,10.45
2016-07-06,10.51
2016-07-07,10.07
2016-07-08,11.3
2016-07-09,10.92
2016-07-10,10.97
2016-07-11,10.58
2016-07-12,10.54
2016-07-13,10.44
2016-07-14,11.55
2016-07-15,11.88
2016-07-16,11.59
2016-07-17,11.19
2016-07-18,11.03
2016-07-19,11.63
2016-07-20,12.54
2016-07-21,12.66
2016-07-22,14.82
2016-07-23,14.4
2016-07-24,12.63
2016-07-25,13.84
2016-07-26,12.08
2016-07-27,13.05
2016-07-28,12.87
2016-07-29,12.87
2016-07-30,12.57
2016-07-31,11.86
2016-08-01,11.04
2016-08-02,8.3
2016-08-03,10.42
2016-08-04,11.21
2016-08-05,11.05
2016-08-06,10.95
2016-08-07,10.98
2016-08-08,11.29
2016-08-10,12.22
2016-08-09,12.22
2016-08-11,11.68
2016-08-12,11.78
2016-08-13,11.56
2016-08-14,11.21
2016-08-15,11.21
2016-08-16,11.17
2016-08-17,10.77
2016-08-18,10.77
2016-08-19,10.71
2016-08-20,11.28
2016-08-21,11.14
2016-08-22,11.07
2016-08-23,11.01
2016-08-24,11.01
2016-08-25,11.35
2016-08-26,11.26
2016-08-27,11.19
2016-08-28,10.99
2016-08-29,10.95
2016-08-30,11.21
2016-08-31,11.55
2016-09-01,12.21
2016-09-02,12.08
2016-09-03,11.85
2016-09-04,11.71
2016-09-05,11.75
2016-09-06,11.7
2016-09-07,11.59
2016-09-08,11.39
2016-09-09,11.72
2016-09-10,12.05
2016-09-11,11.64
2016-09-12,11.89
2016-09-13,11.92
2016-09-14,11.97
2016-09-15,11.96
2016-09-16,12.61
2016-09-17,12.83
2016-09-18,12.39
2016-09-19,12.93
2016-09-20,14.72
2016-09-21,13.72
2016-09-22,13.11
2016-09-23,13.36
2016-09-24,12.91
2016-09-25,13.05
2016-09-26,12.89
2016-09-27,13.09
2016-09-29,13.17
2016-09-28,13.3
2016-09-30,13.24
2016-10-01,13.21
2016-10-02,13.23
2016-10-03,13.45
2016-10-04,13.32
2016-10-05,13.09
2016-10-06,12.87
2016-10-07,12.68
2016-10-08,12.24
2016-10-09,12.06
2016-10-10,11.74
2016-10-11,11.75
2016-10-12,11.77
2016-10-13,12.02
2016-10-14,11.9
2016-10-15,11.96
2016-10-16,11.93
2016-10-17,11.98
2016-10-18,12.5
2016-10-19,11.98
2016-10-20,12.05
2016-10-21,12.07
2016-10-22,12.06
2016-10-23,11.95
2016-10-24,11.93
2016-10-25,11.38
2016-10-26,11.5
2016-10-27,11.43
2016-10-28,11.08
2016-10-29,10.39
2016-10-30,11.22
2016-10-31,10.91
2016-11-01,10.75
2016-11-02,10.82
2016-11-03,10.86
2016-11-04,11.13
2016-11-05,11.11
2016-11-06,10.97
2016-11-07,10.9
2016-11-08,10.86
2016-11-09,10.64
2016-11-10,10.52
2016-11-11,10.29
2016-11-12,9.96
2016-11-13,10.13
2016-11-15,10.22
2016-11-14,10.0
2016-11-16,10.01
2016-11-17,9.95
2016-11-18,9.53
2016-11-19,9.7
2016-11-20,9.57
2016-11-21,9.56
2016-11-22,9.84
2016-11-23,9.78
2016-11-24,9.22
2016-11-25,9.39
2016-11-26,9.34
2016-11-27,8.91
2016-11-28,8.66
2016-11-29,8.18
2016-11-30,8.59
2016-12-01,8.44
2016-12-02,7.65
2016-12-03,7.9
2016-12-04,7.54
2016-12-05,6.69
2016-12-06,7.61
2016-12-07,8.35
2016-12-08,8.3
2016-12-09,8.52
2016-12-10,8.09
2016-12-11,8.2
2016-12-12,8.45
2016-12-13,8.4
2016-12-14,8.23
2016-12-15,7.76
2016-12-16,7.85
2016-12-17,7.66
2016-12-18,7.89
2016-12-19,7.61
2016-12-20,7.59
2016-12-21,7.87
2016-12-22,7.64
2016-12-23,7.16
2016-12-24,7.23
2016-12-25,7.19
2016-12-26,7.21
2016-12-27,7.15
2016-12-28,7.57
2016-12-29,8.21
2016-12-30,8.16
2016-12-31,8.05
2017-01-01,8.14
2017-01-02,8.33
2017-01-03,9.59
2017-01-04,10.88
2017-01-05,10.2
2017-01-06,10.07
2017-01-07,9.78
2017-01-08,10.27
2017-01-09,10.2
2017-01-10,10.55
2017-01-11,9.83
2017-01-12,9.81
2017-01-13,9.78
2017-01-14,9.78
2017-01-15,9.88
2017-01-16,9.59
2017-01-17,10.14
2017-01-18,10.19
2017-01-19,10.43
2017-01-20,10.6
2017-01-21,10.91
2017-01-22,10.71
2017-01-23,10.78
2017-01-24,10.51
2017-01-25,10.51
2017-01-26,10.65
2017-01-27,10.51
2017-01-28,10.54
2017-01-29,10.47
2017-01-30,10.62
2017-01-31,10.71
2017-02-01,10.71
2017-02-02,10.78
2017-02-03,10.95
2017-02-04,11.32
2017-02-05,11.22
2017-02-06,11.32
2017-02-07,11.45
2017-02-08,11.39
2017-02-09,10.94
2017-02-10,11.34
2017-02-11,11.43
2017-02-12,11.42
2017-02-13,11.39
2017-02-14,13.0
2017-02-15,12.97
2017-02-16,12.95
2017-02-17,12.72
2017-02-18,12.83
2017-02-19,12.82
2017-02-20,12.52
2017-02-21,12.77
2017-02-22,12.69
2017-02-23,13.13
2017-02-24,13.11
2017-02-25,13.57
2017-02-26,14.59
2017-02-27,15.55
2017-02-28,16.07
2017-03-01,17.55
2017-03-02,19.08
2017-03-03,19.48
2017-03-04,18.61
2017-03-05,19.22
2017-03-06,19.75
2017-03-07,18.91
2017-03-08,16.54
2017-03-09,17.71
2017-03-10,19.13
2017-03-11,21.45
2017-03-12,23.31
2017-03-13,28.45
2017-03-14,28.58
2017-03-15,35.18
2017-03-16,45.51
2017-03-17,44.48
2017-03-18,34.0
2017-03-19,43.12
2017-03-20,42.51
2017-03-21,42.67
2017-03-22,41.65
2017-03-23,43.2
2017-03-24,53.19
2017-03-25,50.62
2017-03-26,50.63
2017-03-27,49.06
2017-03-28,50.25
2017-03-29,53.07
2017-03-30,51.91
2017-03-31,49.91
2017-04-01,50.6
2017-04-02,48.55
2017-04-03,44.13
2017-04-04,44.43
2017-04-05,44.9
2017-04-06,43.23
2017-04-07,42.31
2017-04-08,44.37
2017-04-09,43.72
2017-04-10,43.74
2017-04-11,43.74
2017-04-12,46.38
2017-04-13,49.97
2017-04-14,47.32
2017-04-15,48.89
2017-04-16,48.22
2017-04-17,47.94
2017-04-18,49.88
2017-04-19,47.88
2017-04-20,49.36
2017-04-21,48.27
2017-04-22,48.41
2017-04-23,48.75
2017-04-24,49.94
2017-04-25,50.09
2017-04-26,53.28
2017-04-27,63.14
2017-04-28,72.42
2017-04-29,69.83
2017-04-30,79.83
2017-05-01,77.53
2017-05-02,77.25
2017-05-03,80.37
2017-05-04,94.55
2017-05-05,90.79
2017-05-06,94.82
2017-05-07,90.46
2017-05-08,88.39
2017-05-09,86.27
2017-05-10,87.83
2017-05-11,88.2
2017-05-12,85.15
2017-05-13,87.96
2017-05-14,88.72
2017-05-15,90.32
2017-05-16,87.8
2017-05-17,86.98
2017-05-18,95.88
2017-05-19,124.38
2017-05-20,123.06
2017-05-21,148.0
2017-05-22,160.39
2017-05-23,169.5
2017-05-24,193.03
2017-05-25,177.33
2017-05-26,162.83
2017-05-27,156.63
2017-05-28,172.86
2017-05-29,194.17
2017-05-30,228.58
2017-05-31,228.64
2017-06-01,220.7
2017-06-02,222.04
2017-06-03,224.3
2017-06-04,244.96
2017-06-05,247.75
2017-06-06,264.26
2017-06-07,255.77
2017-06-08,259.41
2017-06-09,279.11
2017-06-10,335.95
2017-06-11,339.68
2017-06-12,394.66
2017-06-13,388.09
2017-06-14,343.84
2017-06-15,344.68
2017-06-16,353.61
2017-06-17,368.1
2017-06-18,351.53
2017-06-19,358.2
2017-06-20,350.53
2017-06-21,325.3
2017-06-22,320.97
2017-06-23,326.85
2017-06-24,304.54
2017-06-25,279.36
2017-06-26,253.68
2017-06-27,286.14
2017-06-28,315.86
2017-06-29,292.9
2017-06-30,280.68
2017-07-01,261.0
2017-07-02,283.99
2017-07-03,276.41
2017-07-04,269.05
2017-07-05,266.0
2017-07-06,265.88
2017-07-07,240.94
2017-07-08,245.67
2017-07-09,237.72
2017-07-10,205.76
2017-07-11,190.55
2017-07-12,224.15
2017-07-13,205.41
2017-07-14,197.14
2017-07-15,169.1
2017-07-16,155.42
2017-07-17,189.97
2017-07-18,227.09
2017-07-19,194.41
2017-07-20,226.33
2017-07-21,216.33
2017-07-22,230.47
2017-07-23,228.32
2017-07-24,225.48
2017-07-25,203.59
2017-07-26,202.88
2017-07-27,202.93
2017-07-28,191.21
2017-07-29,206.14
2017-07-30,196.78
2017-07-31,201.33
2017-08-01,225.9
2017-08-02,218.12
2017-08-03,224.39
2017-08-04,220.6
2017-08-05,253.09
2017-08-06,264.56
2017-08-07,269.94
2017-08-08,296.51
2017-08-09,295.28
2017-08-10,298.28
2017-08-11,309.32
2017-08-12,308.02
2017-08-13,296.62
2017-08-14,299.16
2017-08-15,286.52
2017-08-16,301.38
2017-08-17,300.3
2017-08-18,292.62
2017-08-19,293.02
2017-08-20,298.2
2017-08-21,321.85
2017-08-22,313.37
2017-08-23,317.4
2017-08-24,325.28
2017-08-25,330.06
2017-08-26,332.86
2017-08-27,347.88
2017-08-28,347.66
2017-08-29,372.35
2017-08-30,383.86
2017-08-31,388.33
2017-09-01,391.42
2017-09-02,351.03
2017-09-03,352.45
2017-09-04,303.7
2017-09-05,317.94
2017-09-06,338.92
2017-09-07,335.37
2017-09-08,306.72
2017-09-09,303.79
2017-09-10,299.21
2017-09-11,297.95
2017-09-12,294.1
2017-09-13,275.84
2017-09-14,223.14
2017-09-15,259.57
2017-09-16,254.49
2017-09-17,258.4
2017-09-18,297.53
2017-09-19,283.0
2017-09-20,283.56
2017-09-21,257.77
2017-09-22,262.94
2017-09-23,286.14
2017-09-24,282.6
2017-09-25,294.89
2017-09-26,288.64
2017-09-27,309.97
2017-09-28,302.77
2017-09-29,292.58
2017-09-30,302.77
2017-10-01,303.95
2017-10-02,296.81
2017-10-03,291.81
2017-10-04,291.68
2017-10-05,294.99
2017-10-06,308.33
2017-10-07,311.26
2017-10-08,309.49
2017-10-09,296.95
2017-10-10,298.46
2017-10-11,302.86
2017-10-12,302.89
2017-10-13,336.83
2017-10-14,338.81
2017-10-15,336.58
2017-10-16,334.23
2017-10-17,316.14
2017-10-18,313.54
2017-10-19,307.41
2017-10-20,303.08
2017-10-21,299.55
2017-10-22,294.03
2017-10-23,285.27
2017-10-24,296.5
2017-10-25,296.35
2017-10-26,295.54
2017-10-27,296.36
2017-10-28,293.35
2017-10-29,304.04
2017-10-30,306.8
2017-10-31,303.64
2017-11-01,289.42
2017-11-02,284.92
2017-11-03,304.51
2017-11-04,300.04
2017-11-05,296.23
2017-11-06,296.82
2017-11-07,291.84
2017-11-08,307.35
2017-11-09,319.66
2017-11-10,296.86
2017-11-11,314.23
2017-11-12,306.02
2017-11-13,314.6
2017-11-14,334.72
2017-11-15,331.2
2017-11-16,330.32
2017-11-17,331.72
2017-11-18,346.65
2017-11-19,354.6
2017-11-20,367.71
2017-11-21,360.52
2017-11-22,380.84
2017-11-23,406.57
2017-11-24,470.43
2017-11-25,464.61
2017-11-26,470.54
2017-11-27,475.24
2017-11-28,466.27
2017-11-29,427.42
2017-11-30,434.85
2017-12-01,461.58
2017-12-02,457.96
2017-12-03,462.81
2017-12-04,466.93
2017-12-05,453.96
2017-12-06,422.48
2017-12-07,421.15
2017-12-08,421.15
2017-12-09,421.15
2017-12-10,421.15
2017-12-11,513.29
2017-12-12,656.52
2017-12-13,699.09
2017-12-14,693.58
2017-12-15,684.27
2017-12-16,692.83
2017-12-17,717.71
2017-12-18,785.99
2017-12-19,812.5
2017-12-20,799.17
2017-12-21,789.39
2017-12-22,657.83
2017-12-23,700.44
2017-12-24,675.91
2017-12-25,723.14
2017-12-26,753.4
2017-12-27,739.94
2017-12-28,716.69
2017-12-29,739.6
2017-12-30,692.99
2017-12-31,741.13
2018-01-01,756.2
2018-01-02,861.97
2018-01-03,941.1
2018-01-04,944.83
2018-01-05,967.13
2018-01-06,1006.41
2018-01-07,1117.75
2018-01-08,1136.11
2018-01-09,1289.24
2018-01-10,1248.99
2018-01-11,1139.32
2018-01-12,1261.03
2018-01-13,1385.02
2018-01-14,1359.48
2018-01-15,1278.69
2018-01-16,1050.26
2018-01-17,1024.69
2018-01-18,1012.97
2018-01-19,1037.36
2018-01-20,1150.5
2018-01-21,1049.09
2018-01-22,999.64
2018-01-23,984.47
2018-01-24,1061.78
2018-01-25,1046.37
2018-01-26,1048.58
2018-01-27,1109.08
2018-01-28,1231.58
2018-01-29,1169.96
2018-01-30,1063.75
2018-01-31,1111.31
2018-02-01,1026.19
2018-02-02,917.47
2018-02-03,970.87
2018-02-04,827.59
2018-02-05,695.08
2018-02-06,785.01
2018-02-07,751.81
2018-02-08,813.55
2018-02-09,877.88
2018-02-10,850.75
2018-02-11,811.24
2018-02-12,865.27
2018-02-13,840.98
2018-02-14,920.11
2018-02-15,927.95
2018-02-16,938.02
2018-02-17,974.77
2018-02-18,913.9
2018-02-19,939.79
2018-02-20,885.52
2018-02-21,840.1
2018-02-22,804.63
2018-02-23,854.7
2018-02-24,833.49
2018-02-25,840.28
2018-02-26,867.62
2018-02-27,871.58
2018-02-28,851.5
2018-03-01,869.87
2018-03-02,855.6
2018-03-03,855.65
2018-03-04,864.83
2018-03-05,849.42
2018-03-06,815.69
2018-03-07,751.13
2018-03-08,698.83
2018-03-09,726.92
2018-03-10,682.3
2018-03-11,720.36
2018-03-12,697.02
2018-03-13,689.96
2018-03-14,613.15
2018-03-15,610.56
2018-03-16,600.53
2018-03-17,549.79
2018-03-18,537.38
2018-03-19,555.55
2018-03-20,557.57
2018-03-21,559.91
2018-03-22,539.89
2018-03-23,543.83
2018-03-24,520.16
2018-03-25,523.01
2018-03-26,486.25
2018-03-27,448.78
